product_id	product_shopify_id	product_type_id	size_and_fit_id	product_catagory	product_vendor_id	product_availability	published_at	product_thumbnail	product_title	product_handle	product_description	product_notes	status	status_for_sale	status_for_sale_nonsubscriber	tagging_status	style_image	created_by	updated_by	created_at	updated_at	added_by	hide_product	has_cleaning_category	gtin	mpn	discount_automation	product_image_id	product_shopify_id	product_id	product_image_title	product_image_url	imageposition	isprimary	height	width	created_at	updated_at	created_by	updated_by
8843	0	1	0	1	178	1	0000-00-00 00:00:00	elvie-key-hole-mini-dress-bec-and-bridge-dolphin-blue-12b-1.jpg	ELVIE KEY HOLE MINI DRESS	elvie-key-hole-mini-dress			2	2	2	1		743	743	2023-12-20 12:45:54	2024-03-22 17:00:40		0	0	0	\N	1	92573	\N	8843	\N	elvie-key-hole-mini-dress-bec-and-bridge-dolphin-blue-12b-2.jpg	2	0	0	0	2024-03-22 16:59:59	2024-03-22 16:59:59	743	0
8935	0	1	0	1	178	1	0000-00-00 00:00:00	deja-vous-slip-dress-bec-and-bridge-chocolate--black-236-1.jpg	DEJA VOUS SLIP DRESS	deja-vous-slip-dress			2	2	2	1		743	743	2024-01-05 15:44:11	2024-03-22 16:58:09		0	0	0	\N	1	92568	\N	8935	\N	deja-vous-slip-dress-bec-and-bridge-chocolate--black-236-1.jpg	1	1	0	0	2024-03-22 16:57:35	2024-03-22 16:57:35	743	0
8935	0	1	0	1	178	1	0000-00-00 00:00:00	deja-vous-slip-dress-bec-and-bridge-chocolate--black-236-1.jpg	DEJA VOUS SLIP DRESS	deja-vous-slip-dress			2	2	2	1		743	743	2024-01-05 15:44:11	2024-03-22 16:58:09		0	0	0	\N	1	92569	\N	8935	\N	deja-vous-slip-dress-bec-and-bridge-chocolate--black-236-2.jpg	2	0	0	0	2024-03-22 16:57:35	2024-03-22 16:57:35	743	0
8935	0	1	0	1	178	1	0000-00-00 00:00:00	deja-vous-slip-dress-bec-and-bridge-chocolate--black-236-1.jpg	DEJA VOUS SLIP DRESS	deja-vous-slip-dress			2	2	2	1		743	743	2024-01-05 15:44:11	2024-03-22 16:58:09		0	0	0	\N	1	92570	\N	8935	\N	deja-vous-slip-dress-bec-and-bridge-chocolate--black-236-3.jpg	3	0	0	0	2024-03-22 16:57:35	2024-03-22 16:57:35	743	0
8894	0	1	0	1	10	1	0000-00-00 00:00:00	cannon-romper-4-show-me-your-mumu-spring-blue-denim-706-1.jpg	CANNON ROMPER	cannon-romper-4			2	2	2	1		743	743	2024-01-04 16:15:35	2024-03-22 16:55:12		0	0	0	\N	1	92565	\N	8894	\N	cannon-romper-4-show-me-your-mumu-spring-blue-denim-706-1.jpg	1	1	0	0	2024-03-22 16:54:42	2024-03-22 16:54:42	743	0
8894	0	1	0	1	10	1	0000-00-00 00:00:00	cannon-romper-4-show-me-your-mumu-spring-blue-denim-706-1.jpg	CANNON ROMPER	cannon-romper-4			2	2	2	1		743	743	2024-01-04 16:15:35	2024-03-22 16:55:12		0	0	0	\N	1	92566	\N	8894	\N	cannon-romper-4-show-me-your-mumu-spring-blue-denim-706-3.jpg	3	0	0	0	2024-03-22 16:54:42	2024-03-22 16:54:42	743	0
8894	0	1	0	1	10	1	0000-00-00 00:00:00	cannon-romper-4-show-me-your-mumu-spring-blue-denim-706-1.jpg	CANNON ROMPER	cannon-romper-4			2	2	2	1		743	743	2024-01-04 16:15:35	2024-03-22 16:55:12		0	0	0	\N	1	92567	\N	8894	\N	cannon-romper-4-show-me-your-mumu-spring-blue-denim-706-2.jpg	2	0	0	0	2024-03-22 16:54:42	2024-03-22 16:54:42	743	0
8816	0	1	0	1	275	1	0000-00-00 00:00:00	la-lune-lace-back-maxi-dress-shona-joy-peach-ff5-1.jpg	LA LUNE LACE BACK MAXI DRESS	la-lune-lace-back-maxi-dress			2	2	2	1		743	743	2023-12-08 15:34:01	2024-03-22 16:52:40		0	0	0	\N	1	92562	\N	8816	\N	la-lune-lace-back-maxi-dress-shona-joy-peach-ff5-1.jpg	1	1	0	0	2024-03-22 16:52:01	2024-03-22 16:52:01	743	0
8816	0	1	0	1	275	1	0000-00-00 00:00:00	la-lune-lace-back-maxi-dress-shona-joy-peach-ff5-1.jpg	LA LUNE LACE BACK MAXI DRESS	la-lune-lace-back-maxi-dress			2	2	2	1		743	743	2023-12-08 15:34:01	2024-03-22 16:52:40		0	0	0	\N	1	92563	\N	8816	\N	la-lune-lace-back-maxi-dress-shona-joy-peach-ff5-2.jpg	2	0	0	0	2024-03-22 16:52:01	2024-03-22 16:52:01	743	0
8816	0	1	0	1	275	1	0000-00-00 00:00:00	la-lune-lace-back-maxi-dress-shona-joy-peach-ff5-1.jpg	LA LUNE LACE BACK MAXI DRESS	la-lune-lace-back-maxi-dress			2	2	2	1		743	743	2023-12-08 15:34:01	2024-03-22 16:52:40		0	0	0	\N	1	92564	\N	8816	\N	la-lune-lace-back-maxi-dress-shona-joy-peach-ff5-3.jpg	3	0	0	0	2024-03-22 16:52:01	2024-03-22 16:52:01	743	0
